contact_id,lifecycle_stage,plan,renewal_date,payment_status,last_email_sent_date,unsubscribed,region
C001,lead,free,,none,2026-07-26,false,NA
C002,lead,free,,none,,false,NA
C003,lead,free,,none,2026-06-01,true,EU
C004,trial,pro,,none,,false,NA
C005,trial,free,,none,2026-07-27,false,APAC
C006,customer,pro,2026-05-01,paid,,false,NA
C007,customer,pro,2026-08-05,overdue,2026-05-01,false,EU
C008,customer,pro,2026-08-10,paid,2026-04-01,false,NA
C009,customer,enterprise,2026-08-20,overdue,,false,APAC
C010,churn_risk,free,,pending,,false,NA
C011,evangelist,enterprise,,none,,false,EU
C012,lead,pro,,none,2026-07-10,false,NA
C013,trial,free,,none,2026-07-29,false,APAC
C014,customer,free,2026-08-03,overdue,,true,NA
C015,lead,free,,none,07/30/2026,false,EU
C016,trial,enterprise,,none,,false,NA
C017,customer,pro,2026-09-15,overdue,,false,APAC
C018,lead,free,,none,,true,NA
C019,customer,enterprise,2026-08-25,pending,2026-07-20,false,EU
C020,trial,pro,,none,2026-07-25,false,APAC
